WEEK NUMBER,NO. OF DEATHS ,COUNT,TYPE,SEASON
2017-30,0,0,CURRENT WEEK DEATHS,2016-17
2017-31,0,0,PREVIOUS WEEK DEATHS,2016-17
2017-31,0,0,CURRENT WEEK DEATHS,2016-17
2017-32,0,0,PREVIOUS WEEK DEATHS,2016-17
2017-32,0,0,CURRENT WEEK DEATHS,2016-17
2017-33,1,1,PREVIOUS WEEK DEATHS,2016-17
2017-33,1,0,CURRENT WEEK DEATHS,2016-17
2017-34,0,0,PREVIOUS WEEK DEATHS,2016-17
2017-34,0,0,CURRENT WEEK DEATHS,2016-17
2017-35,1,1,PREVIOUS WEEK DEATHS,2016-17
2017-35,1,0,CURRENT WEEK DEATHS,2016-17
2017-36,0,0,PREVIOUS WEEK DEATHS,2016-17
2017-36,0,0,CURRENT WEEK DEATHS,2016-17
2017-37,0,0,PREVIOUS WEEK DEATHS,2016-17
2017-37,0,0,CURRENT WEEK DEATHS,2016-17
2017-38,0,0,PREVIOUS WEEK DEATHS,2016-17
2017-38,0,0,CURRENT WEEK DEATHS,2016-17
2017-39,0,0,PREVIOUS WEEK DEATHS,2016-17
2017-39,0,0,CURRENT WEEK DEATHS,2016-17
2017-40,0,0,PREVIOUS WEEK DEATHS,2017-18
2017-40,0,0,CURRENT WEEK DEATHS,2017-18
2017-41,0,0,PREVIOUS WEEK DEATHS,2017-18
2017-41,0,0,CURRENT WEEK DEATHS,2017-18
2017-42,1,1,PREVIOUS WEEK DEATHS,2017-18
2017-42,1,0,CURRENT WEEK DEATHS,2017-18
2017-43,0,0,PREVIOUS WEEK DEATHS,2017-18
2017-43,0,0,CURRENT WEEK DEATHS,2017-18
2017-44,3,3,PREVIOUS WEEK DEATHS,2017-18
2017-44,3,0,CURRENT WEEK DEATHS,2017-18
2017-45,2,2,PREVIOUS WEEK DEATHS,2017-18
2017-45,2,0,CURRENT WEEK DEATHS,2017-18
2017-46,2,2,PREVIOUS WEEK DEATHS,2017-18
2017-46,2,0,CURRENT WEEK DEATHS,2017-18
2017-47,1,1,PREVIOUS WEEK DEATHS,2017-18
2017-47,1,0,CURRENT WEEK DEATHS,2017-18
2017-48,0,0,PREVIOUS WEEK DEATHS,2017-18
2017-48,0,0,CURRENT WEEK DEATHS,2017-18
2017-49,0,0,PREVIOUS WEEK DEATHS,2017-18
2017-49,0,0,CURRENT WEEK DEATHS,2017-18
2017-50,3,3,PREVIOUS WEEK DEATHS,2017-18
2017-50,3,0,CURRENT WEEK DEATHS,2017-18
2017-51,8,8,PREVIOUS WEEK DEATHS,2017-18
2017-51,8,0,CURRENT WEEK DEATHS,2017-18
2017-52,7,7,PREVIOUS WEEK DEATHS,2017-18
2017-52,7,0,CURRENT WEEK DEATHS,2017-18
2018-01,15,15,PREVIOUS WEEK DEATHS,2017-18
2018-01,15,0,CURRENT WEEK DEATHS,2017-18
2018-02,10,10,PREVIOUS WEEK DEATHS,2017-18
2018-02,10,0,CURRENT WEEK DEATHS,2017-18
2018-03,14,14,PREVIOUS WEEK DEATHS,2017-18
2018-03,14,0,CURRENT WEEK DEATHS,2017-18
2018-04,18,18,PREVIOUS WEEK DEATHS,2017-18
2018-04,18,0,CURRENT WEEK DEATHS,2017-18
2018-05,12,12,PREVIOUS WEEK DEATHS,2017-18
2018-05,12,0,CURRENT WEEK DEATHS,2017-18
2018-06,17,17,PREVIOUS WEEK DEATHS,2017-18
2018-06,17,0,CURRENT WEEK DEATHS,2017-18
2018-07,11,11,PREVIOUS WEEK DEATHS,2017-18
2018-07,11,0,CURRENT WEEK DEATHS,2017-18
2018-08,14,14,PREVIOUS WEEK DEATHS,2017-18
2018-08,14,0,CURRENT WEEK DEATHS,2017-18
2018-09,13,13,PREVIOUS WEEK DEATHS,2017-18
2018-09,13,0,CURRENT WEEK DEATHS,2017-18
2018-10,3,3,PREVIOUS WEEK DEATHS,2017-18
2018-10,3,0,CURRENT WEEK DEATHS,2017-18
2018-11,6,6,PREVIOUS WEEK DEATHS,2017-18
2018-11,6,0,CURRENT WEEK DEATHS,2017-18
2018-12,4,4,PREVIOUS WEEK DEATHS,2017-18
2018-12,4,0,CURRENT WEEK DEATHS,2017-18
2018-13,5,5,PREVIOUS WEEK DEATHS,2017-18
2018-13,5,0,CURRENT WEEK DEATHS,2017-18
2018-14,4,4,PREVIOUS WEEK DEATHS,2017-18
2018-14,4,0,CURRENT WEEK DEATHS,2017-18
2018-15,0,0,PREVIOUS WEEK DEATHS,2017-18
2018-15,0,0,CURRENT WEEK DEATHS,2017-18
2018-16,4,4,PREVIOUS WEEK DEATHS,2017-18
2018-16,4,0,CURRENT WEEK DEATHS,2017-18
2018-17,0,0,PREVIOUS WEEK DEATHS,2017-18
2018-17,0,0,CURRENT WEEK DEATHS,2017-18
2018-18,1,1,PREVIOUS WEEK DEATHS,2017-18
2018-18,1,0,CURRENT WEEK DEATHS,2017-18
2018-19,1,1,PREVIOUS WEEK DEATHS,2017-18
2018-19,1,0,CURRENT WEEK DEATHS,2017-18
2018-20,1,1,PREVIOUS WEEK DEATHS,2017-18
2018-20,1,0,CURRENT WEEK DEATHS,2017-18
2018-21,2,2,PREVIOUS WEEK DEATHS,2017-18
2018-21,2,0,CURRENT WEEK DEATHS,2017-18
2018-22,1,1,PREVIOUS WEEK DEATHS,2017-18
2018-22,1,0,CURRENT WEEK DEATHS,2017-18
2018-23,0,0,PREVIOUS WEEK DEATHS,2017-18
2018-23,0,0,CURRENT WEEK DEATHS,2017-18
2018-24,0,0,PREVIOUS WEEK DEATHS,2017-18
2018-24,0,0,CURRENT WEEK DEATHS,2017-18
2018-25,0,0,PREVIOUS WEEK DEATHS,2017-18
2018-25,0,0,CURRENT WEEK DEATHS,2017-18
2018-26,0,0,PREVIOUS WEEK DEATHS,2017-18
2018-26,0,0,CURRENT WEEK DEATHS,2017-18
2018-27,0,0,PREVIOUS WEEK DEATHS,2017-18
2018-27,0,0,CURRENT WEEK DEATHS,2017-18
2018-28,0,0,PREVIOUS WEEK DEATHS,2017-18
2018-28,0,0,CURRENT WEEK DEATHS,2017-18
2018-29,0,0,PREVIOUS WEEK DEATHS,2017-18
2018-29,0,0,CURRENT WEEK DEATHS,2017-18
2018-30,0,0,PREVIOUS WEEK DEATHS,2017-18
2018-30,0,0,CURRENT WEEK DEATHS,2017-18
2018-31,0,0,PREVIOUS WEEK DEATHS,2017-18
2018-31,0,0,CURRENT WEEK DEATHS,2017-18
2018-32,0,0,PREVIOUS WEEK DEATHS,2017-18
2018-32,0,0,CURRENT WEEK DEATHS,2017-18
2018-33,0,0,PREVIOUS WEEK DEATHS,2017-18
2018-33,0,0,CURRENT WEEK DEATHS,2017-18
2018-34,0,0,PREVIOUS WEEK DEATHS,2017-18
2018-34,0,0,CURRENT WEEK DEATHS,2017-18
2018-35,0,0,PREVIOUS WEEK DEATHS,2017-18
2018-35,0,0,CURRENT WEEK DEATHS,2017-18
2018-36,0,0,PREVIOUS WEEK DEATHS,2017-18
2018-36,0,0,CURRENT WEEK DEATHS,2017-18
2018-37,0,0,PREVIOUS WEEK DEATHS,2017-18
2018-37,0,0,CURRENT WEEK DEATHS,2017-18
2018-38,2,2,PREVIOUS WEEK DEATHS,2017-18
2018-38,2,0,CURRENT WEEK DEATHS,2017-18
2018-39,0,0,PREVIOUS WEEK DEATHS,2017-18
2018-39,0,0,CURRENT WEEK DEATHS,2017-18
2018-40,1,1,PREVIOUS WEEK DEATHS,2018-19
2018-40,1,0,CURRENT WEEK DEATHS,2018-19
2018-41,1,1,PREVIOUS WEEK DEATHS,2018-19
2018-41,1,0,CURRENT WEEK DEATHS,2018-19
2018-42,0,0,PREVIOUS WEEK DEATHS,2018-19
2018-42,0,0,CURRENT WEEK DEATHS,2018-19
